"gdp_for_year","percent_pop_depression","gender","years_5_14","years_15_24","years_25_34","years_35_54","years_55_74","years_75","gdp_per_capita","suicides_per_100k"
189.55771657667893,47645.40363046461,0,0,0,1,0,0,0,63748.899691517116,0.0
13.983793914585297,30665.23694950275,0,0,0,1,0,0,0,2786.6551415135486,2352.186464236074
164.11210200251514,6809.309939868185,0,0,0,0,0,0,1,915.9324668321425,5789.586229017427
155.69342805079356,23341.86395269706,0,0,1,0,0,0,0,1761.286587735228,3897.14530097295
568.3372966403316,100000.0,0,0,0,1,0,0,0,17008.588353779905,5714.743932428098
12242.309478581774,50862.1188562698,0,0,0,1,0,0,0,22338.442994107896,2983.0001069175664
216.61261781914783,28751.174901637696,1,0,0,0,0,0,1,16164.02724799962,61402.75847321715
50158.06870535642,76491.28294955438,0,0,1,0,0,0,0,28479.552105058643,1774.831604832674
79.57967708376476,58598.083771414225,0,0,1,0,0,0,0,1009.5082513223527,3116.647065112798
668.9108654559616,75295.68048729889,1,0,1,0,0,0,0,9627.203590772477,2961.6165936063294
120.29847195360512,41531.81946744124,1,0,0,0,0,0,1,1068.9843855322322,41617.66278199508
14581.776074489573,65577.4817765967,1,0,0,1,0,0,0,35286.00090403724,11237.036245055062
1220.0566293049349,40826.06232328248,1,0,0,0,0,0,1,11181.513231457324,25184.43280230942
18.058628296444777,14714.739669694973,1,0,0,0,1,0,0,11138.690414826211,5249.652517908692
177.12738021140626,23677.70700750364,0,0,1,0,0,0,0,1985.709867487173,5057.200898107559
4.2908274948626195,21131.6391402584,0,0,0,0,0,0,1,3406.792967541891,0.0
38.50999703103399,2336.3291902994897,1,0,0,0,0,1,0,1818.3836765767123,2582.059232331872
234.60596958293732,60710.60662764722,1,0,0,0,0,1,0,11774.688543310522,39607.6125307388
65.84005879139765,16996.13376857992,0,0,1,0,0,0,0,1163.3531851452408,1283.010798674222
21569.488825494464,27343.607867322404,1,0,0,1,0,0,0,26224.21709582002,10050.251256281406
2856.5975543152567,49282.653361947465,0,1,0,0,0,0,0,2792.999262495936,310.060943012937
10718.855671947958,37087.330175332274,1,0,0,0,0,0,1,27221.830120300394,15642.039987169892
146.47482422637918,23722.907517619446,0,0,0,0,0,1,0,4854.838581771754,8874.15802416337
1281.5436933859714,44808.15900370122,0,0,1,0,0,0,0,4935.72612429719,2860.0449053779535
51.60622477957304,23483.252810340975,0,1,0,0,0,0,0,140.36367673531535,326.0985779963648
9.583277274291722,13083.663087328394,0,0,0,0,0,1,0,2628.05211695387,0.0
56.342241536788826,17923.501030292653,1,0,1,0,0,0,0,2804.8944893379116,1320.431946968887
189.25500848667969,20181.3599981718,1,0,1,0,0,0,0,8153.781492613064,5212.231369614027
3259.755427931618,49600.42214842803,1,0,0,0,0,0,1,3220.4344136842687,47540.89596920774
298.4067561558051,12796.077438594231,1,0,1,0,0,0,0,5738.257428569163,5089.276168074414
314.0072844588963,42344.38989847247,0,0,0,0,0,0,1,14084.741596022237,3699.347802844007
1515.8807711173984,65651.88603060873,1,0,0,0,0,1,0,53070.158047913974,10125.093552870736
856.0919907891454,17927.388927091844,1,0,0,0,1,0,0,12406.72159618084,17197.690580562386
473.52937673028714,67252.66076082282,1,1,0,0,0,0,0,1321.1631945821207,1042.4462739228054
261.13216039924686,35132.964586602306,1,1,0,0,0,0,0,2704.181568742516,133.6469581952315
3325.1144933993255,41145.107289628424,0,0,1,0,0,0,0,3361.5911055423826,1101.2509355287073
600.4113608360055,65005.36737508499,0,0,0,0,0,0,1,24016.462993949295,919.4910723831925
727.1520568736664,99306.97497589355,1,0,0,0,0,1,0,21615.213202115763,22987.276809579813
164.37390092224317,41513.32969869393,1,0,0,1,0,0,0,12381.34511225129,2389.6076125307386
1545.0870916803751,75233.028959489,1,0,0,0,0,0,1,27335.231282860565,27916.17662781995
262.3517697343278,41914.999891673106,0,0,0,0,0,0,1,19264.716378141333,0.0
88.93574577769692,12039.095028210995,1,0,0,0,0,0,1,2444.865623587442,26424.67657436117
701.3153070275404,40102.527696812904,1,1,0,0,0,0,0,30032.275715497894,0.0
65.64849641694242,39870.55974732826,1,0,0,0,1,0,0,8183.123052156605,9772.265583235325
18.59047174235788,37558.41861726802,1,0,0,0,1,0,0,8187.088127770597,3790.2277344167646
6508.268576664412,62466.155264791,1,1,0,0,0,0,0,17100.57810802452,26.729391639046295
2022.5444325062592,46292.62329455626,1,1,0,0,0,0,0,5837.384318918962,69.49641826152036
188.37090688425647,30869.217977753513,0,0,0,1,0,0,0,14128.357427776147,3357.2115898642146
840.2112364720871,46282.14674821951,1,1,0,0,0,0,0,2941.293090459235,0.0
4.912266061996202,35970.52440011385,1,0,0,0,0,0,1,3268.808336174971,0.0
815.1631582783245,41219.541222241976,0,0,0,0,1,0,0,7780.271369775021,3838.340639367048
1545.0870916803751,75233.028959489,0,0,1,0,0,0,0,27335.231282860565,3581.7384796322035
1313.254857648924,78100.10058078055,0,0,0,0,1,0,0,18574.000206183933,2421.682882497594
316.1789043632061,18919.960076345236,0,0,0,1,0,0,0,11140.276445071808,2122.3136961402756
4061.963267265835,58562.02427056675,1,0,1,0,0,0,0,19757.178769399132,9815.032609857799
2232.7891920273564,51919.38935683799,1,0,1,0,0,0,0,2106.2481661525285,28413.343312306213
811.567676255427,41545.14515952397,0,0,1,0,0,0,0,34492.19276611605,433.01614455255
86.34242980287816,35283.435096311514,1,0,0,0,0,0,1,10314.747702238681,16320.966534801668
24.02463130843657,27849.687380450883,0,0,1,0,0,0,0,575.7289791516324,3346.519833208596
